DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.777416,0,0.556,43.0,93.0,100.0,5.556,7.408,7.0,0.0,0.0,,,,,,,,
-0.777416,1,1.111,41.0,94.0,130.0,5.556,9.26,12.0,0.0,0.0,0.229,38.308,0.358,0.832,54.0,0.731,0.0,1027.307
-0.777416,2,1.111,41.0,95.0,150.0,7.408,11.112,17.0,0.339,2.54,0.29,37.678,0.682,1.161,36.0,1.0,0.0,1026.429
-0.777416,3,1.111,43.0,95.0,150.0,7.408,11.112,20.0,0.339,2.54,0.71,37.119,0.627,1.1,56.0,0.881,0.0,1024.763
-0.777416,4,1.111,47.0,95.0,140.0,7.408,14.816,26.0,0.339,2.54,0.761,39.0,0.572,0.978,94.0,0.407,0.0,1023.525
-0.777416,5,1.111,51.0,97.0,140.0,9.26,16.668,52.0,0.339,2.54,0.821,38.797,1.286,1.955,135.0,0.407,0.0,1022.67
-0.777416,6,0.556,58.0,98.0,140.0,9.26,18.52,71.0,0.339,2.54,0.628,40.271,0.859,1.283,124.0,0.0,0.0,1022.025
-0.777416,7,0.0,69.0,98.0,140.0,11.112,18.52,83.0,0.339,2.54,0.718,41.085,0.841,1.405,119.0,0.0,0.0,1020.789
-0.777416,8,-0.556,81.0,99.0,130.0,11.112,20.372,93.0,1.778,2.117,0.671,42.0,1.463,2.382,138.0,0.0,0.0,1019.764
-0.777416,9,-1.111,92.0,99.0,120.0,11.112,22.224,95.0,1.778,2.117,-0.395,59.983,1.958,3.225,155.0,0.0,0.0,1018.568
-0.777416,10,-1.111,100.0,99.0,110.0,11.112,20.372,97.0,1.778,2.117,-1.336,80.034,0.438,0.917,86.0,0.0,0.661,1017.852
-0.777416,11,-0.556,100.0,99.0,100.0,11.112,20.372,99.0,1.778,2.117,-1.46,88.814,0.2,0.458,68.0,0.0,1.738,1015.932
-0.777416,12,-0.556,100.0,99.0,80.0,9.26,18.52,97.0,1.778,2.117,-1.492,92.0,0.371,0.764,47.0,0.0,0.0,1013.575
-0.777416,13,-0.556,100.0,99.0,70.0,9.26,16.668,94.0,1.778,2.117,-1.108,93.034,0.194,0.397,37.0,0.0,0.0,1013.125
-0.777416,14,0.0,100.0,99.0,60.0,7.408,16.668,58.0,0.085,0.0,-1.0,93.627,0.031,0.031,48.0,0.0,0.0,1011.768
